HISTOGRAM GEMPABMI
Tanggal,Jumlah
01-Jun-23,4
02-Jun-23,4
03-Jun-23,2
04-Jun-23,7
05-Jun-23,6
06-Jun-23,4
07-Jun-23,9
08-Jun-23,6
09-Jun-23,10
10-Jun-23,5
11-Jun-23,3
12-Jun-23,4
13-Jun-23,4
14-Jun-23,6
15-Jun-23,2
16-Jun-23,4
17-Jun-23,6
18-Jun-23,2
19-Jun-23,8
20-Jun-23,4
21-Jun-23,1
22-Jun-23,5
23-Jun-23,6
24-Jun-23,3
25-Jun-23,3
26-Jun-23,2
27-Jun-23,1
28-Jun-23,5
29-Jun-23,5
30-Jun-23,2
TOTAL,133,
TOTAL DIRASAKAN,2,

BERDASARKAN MAGNITUDO
M < 3,17, 12.8%,
3 < M < 5,115, 86.5%,
M > 5,1, 0.8%,

BERDASARKAN KEDALAMAN
< 60 Km,93, 69.9%,
60 - 300 Km,40, 30.1%,
> 300 Km,0, 0.0%,

BERDASARKAN WILAYAH
LAUT MALUKU,73
HALMAHERA BAG. UTARA,13
HALMAHERA BAG. TIMUR,6
HALMAHERA BAG. BARAT,8
HALMAHERA BAG. SELATAN,16
KEP. SULA & TALIABU,1
SULAWESI,6

Event ID,Origin Date,Origin Time,Latitude,Longitude,Depth,Magnitude,Remark,Information
TNT-bmkg2023ldwp,2023-06-08,15:42:56,4.15,127.66,125.0,3.8,110 km TimurLaut MELONGUANE-SULUT,-
TNT-bmkg2023leco,2023-06-08,18:44:15,4.22,127.62,125.0,3.8,107 km TimurLaut MELONGUANE-SULUT,-
TNT-bmkg2023leen,2023-06-08,19:43:43,-0.8,128.13,2.0,2.8,72 km Tenggara LABUHA-MALUT,-
TNT-bmkg2023lefd,2023-06-08,20:02:26,-0.84,127.55,2.0,2.8,22 km Tenggara LABUHA-MALUT,-
AAI-bmkg2023lert,2023-06-09,2:24:15,-2.05,125.63,7.0,4.7,37 km BaratDaya SANANA-MALUT,-
AAI-bmkg2023lesf,2023-06-09,2:38:10,-2.57,129.32,13.0,3.6,287 km BaratDaya SORONG-PAPUABARAT,-
TNT-bmkg2023lfij,2023-06-09,10:47:59,2.67,128.22,66.0,4.6,70 km BaratLaut DARUBA-MALUT,Dirasakan di Pulau Morotai II-III MMI
TNT-bmkg2023lfpp,2023-06-09,14:26:41,0.55,126.61,30.0,3.2,88 km BaratDaya TERNATE-MALUT,-
TNT-bmkg2023lfyq,2023-06-09,19:01:48,-0.11,124.47,20.0,3.2,72 km Tenggara MOLIBAGU-SULUT,-
TNT-bmkg2023lfzt,2023-06-09,19:34:40,-0.28,129.74,66.0,4.1,122 km BaratLaut RAJAAMPAT-PAPUABARAT,-
