HISTOGRAM GEMPABMI
Tanggal,Jumlah
01-May-23,4
02-May-23,4
03-May-23,4
04-May-23,3
05-May-23,4
06-May-23,5
07-May-23,14
08-May-23,10
09-May-23,4
10-May-23,1
11-May-23,0
12-May-23,2
13-May-23,5
14-May-23,4
15-May-23,4
16-May-23,1
17-May-23,3
18-May-23,2
19-May-23,4
20-May-23,0
21-May-23,2
22-May-23,6
23-May-23,6
24-May-23,5
25-May-23,2
26-May-23,0
27-May-23,2
28-May-23,0
29-May-23,2
30-May-23,4
31-May-23,5
TOTAL,112,
TOTAL DIRASAKAN,3,

BERDASARKAN MAGNITUDO
M < 3,10, 8.9%,
3 < M < 5,100, 89.3%,
M > 5,2, 1.8%,

BERDASARKAN KEDALAMAN
< 60 Km,82, 73.2%,
60 - 300 Km,29, 25.9%,
> 300 Km,1, 0.9%,

BERDASARKAN WILAYAH
LAUT MALUKU,64
HALMAHERA BAG. UTARA,9
HALMAHERA BAG. TIMUR,2
HALMAHERA BAG. BARAT,17
HALMAHERA BAG. SELATAN,6
KEP. SULA & TALIABU,1
SULAWESI,7

Event ID,Origin Date,Origin Time,Latitude,Longitude,Depth,Magnitude,Remark,Information
TNT-bmkg2023iyfi,2023-05-08,2:14:37,3.41,126.95,10.0,3.3,73 km Tenggara MELONGUANE-SULUT,-
TNT-bmkg2023iyfq,2023-05-08,2:24:03,0.88,125.94,10.0,3.4,105 km Tenggara BITUNG-SULUT,-
MNI-bmkg2023izdp,2023-05-08,14:30:21,0.43,124.57,99.0,4.8,38 km BaratDaya TUTUYAN-SULUT,-
MNI-bmkg2023izfi,2023-05-08,15:22:17,3.27,126.99,55.0,3.4,89 km Tenggara MELONGUANE-SULUT,-
TNT-bmkg2023izgx,2023-05-08,16:10:06,1.76,128.86,16.0,3.8,71 km Tenggara DARUBA-MALUT,-
TNT-bmkg2023izmz,2023-05-08,19:14:15,0.88,126.06,20.0,3.9,116 km Tenggara BITUNG-SULUT,-
TNT-bmkg2023iznl,2023-05-08,19:28:06,0.81,125.96,10.0,3.1,112 km Tenggara BITUNG-SULUT,-
TNT-bmkg2023iznp,2023-05-08,19:33:35,0.85,126.08,12.0,3.2,120 km Tenggara BITUNG-SULUT,-
TNT-bmkg2023izvk,2023-05-08,23:29:32,1.76,128.78,13.0,3.8,63 km Tenggara DARUBA-MALUT,-
TNT-bmkg2023izwv,2023-05-09,0:13:26,2.15,125.99,34.0,4.8,96 km Tenggara ONDONGSIAU-SULUT,-
MNI-bmkg2023jauu,2023-05-09,12:19:46,2.13,125.97,30.0,3.2,96 km Tenggara ONDONGSIAU-SULUT,-
TNT-bmkg2023javc,2023-05-09,12:28:42,-2.68,128.95,3.0,3.4,278 km Tenggara LABUHA-MALUT,-
TNT-bmkg2023jbph,2023-05-09,22:41:16,-0.15,124.74,8.0,3.6,97 km Tenggara MOLIBAGU-SULUT,-
TNT-bmkg2023jbud,2023-05-10,1:07:18,2.52,126.9,22.0,3.7,150 km BaratLaut TOBELO-MALUT,-
TNT-bmkg2023jfte,2023-05-12,5:11:32,3.2,127.87,10.0,4.1,137 km BaratLaut DARUBA-MALUT,-
MNI-bmkg2023jgzc,2023-05-12,21:19:35,1.76,129.16,11.0,3.4,102 km Tenggara DARUBA-MALUT,-
MNI-bmkg2023jhvq,2023-05-13,8:42:18,5.86,125.8,102.0,4.4,228 km BaratLaut MELONGUANE-SULUT,-
MNI-bmkg2023jidm,2023-05-13,12:40:11,1.44,125.96,11.0,3.7,86 km Timur BITUNG-SULUT,-
TNT-bmkg2023jift,2023-05-13,13:48:49,-0.09,127.21,8.0,2.8,69 km BaratLaut LABUHA-MALUT,-
TNT-bmkg2023jile,2023-05-13,16:32:43,1.08,126.96,28.0,3.5,56 km Barat JAILOLO-MALUT,-
TNT-bmkg2023jilx,2023-05-13,16:56:01,1.02,126.9,22.0,3.2,59 km BaratLaut TERNATE-MALUT,-
TNT-bmkg2023jjbh,2023-05-14,0:41:30,0.36,125.26,10.0,3.7,85 km Tenggara TUTUYAN-SULUT,-
MNI-bmkg2023jjzw,2023-05-14,13:07:05,1.23,126.17,13.0,3.2,112 km Tenggara BITUNG-SULUT,-
PGN-bmg2023jker,2023-05-14,15:32:21,0.49,126.9,109.0,5.9,61 km BaratDaya TERNATE-MALUT,dirasakan di Halmahera Tengah II-III MMI dan Sanana II MMI
TNT-bmkg2023jkru,2023-05-14,22:10:22,3.33,128.32,14.0,4.5,143 km Utara DARUBA-MALUT,-
MNI-bmkg2023jliv,2023-05-15,6:46:07,0.94,126.89,18.0,3.3,56 km BaratLaut TERNATE-MALUT,-
MNI-bmkg2023jmbk,2023-05-15,16:10:01,-0.18,125.04,10.0,4.8,116 km Tenggara TUTUYAN-SULUT,-
MNI-bmkg2023jmbw,2023-05-15,16:23:24,1.93,126.83,28.0,4.5,120 km BaratLaut JAILOLO-MALUT,-
MNI-bmkg2023jmpp,2023-05-15,23:19:53,2.43,127.57,83.0,3.5,91 km BaratLaut DARUBA-MALUT,-
TNT-bmkg2023jokg,2023-05-16,22:53:44,-0.94,127.54,6.0,2.9,33 km Tenggara LABUHA-MALUT,-
MNI-bmkg2023joqz,2023-05-17,2:17:53,2.3,126.79,26.0,3.7,148 km BaratLaut TOBELO-MALUT,-
TNT-bmkg2023jpkr,2023-05-17,12:15:00,-0.3,129.74,37.0,3.7,122 km BaratLaut RAJAAMPAT-PAPUABARAT,-
TNT-bmkg2023jqcl,2023-05-17,21:14:20,-0.01,124.43,23.0,3.8,61 km Tenggara MOLIBAGU-SULUT,-
MNI-bmkg2023jrgg,2023-05-18,12:17:29,0.41,125.5,10.0,3.2,105 km Tenggara RATAHAN-SULUT,-
MNI-bmkg2023jrwc,2023-05-18,20:21:17,3.22,125.56,139.0,3.9,44 km Tenggara TAHUNA-SULUT,-
TNT-bmkg2023jtbq,2023-05-19,12:14:05,1.42,126.42,7.0,4.9,123 km BaratLaut JAILOLO-MALUT,Batang Dua II - III MMI
MNI-bmkg2023jtlk,2023-05-19,17:10:24,-0.2,124.5,29.0,4.7,82 km Tenggara MOLIBAGU-SULUT,-
MNI-bmkg2023jtnp,2023-05-19,18:15:58,1.79,127.38,114.0,4.9,68 km BaratLaut TOBELO-MALUT,-
TNT-bmkg2023jtrf,2023-05-19,20:06:42,0.35,127.06,110.0,2.9,56 km BaratDaya TIDORE-MALUT,-
MNI-bmkg2023jvwg,2023-05-21,0:54:37,3.47,124.85,317.0,3.8,74 km BaratDaya TAHUNA-SULUT,-
MNI-bmkg2023jxin,2023-05-21,20:15:16,2.04,127.26,29.0,3.1,88 km BaratLaut TOBELO-MALUT,-
TNT-bmkg2023jxvx,2023-05-22,3:00:53,3.3,126.88,118.0,4.1,82 km Tenggara MELONGUANE-SULUT,-
MNI-bmkg2023jyvh,2023-05-22,15:50:03,1.65,125.81,11.0,4.0,73 km TimurLaut BITUNG-SULUT,-
TNT-bmkg2023jyvn,2023-05-22,15:57:01,1.66,125.84,10.0,3.5,77 km TimurLaut BITUNG-SULUT,-
TNT-bmkg2023jywr,2023-05-22,16:32:31,3.52,126.92,74.0,4.1,60 km Tenggara MELONGUANE-SULUT,-
TNT-bmkg2023jzhd,2023-05-22,21:50:00,3.18,126.92,10.0,4.1,96 km Tenggara MELONGUANE-SULUT,-
MNI-bmkg2023jzhz,2023-05-22,22:15:07,1.09,126.35,9.0,3.3,118 km BaratLaut TERNATE-MALUT,-
MNI-bmkg2023kabu,2023-05-23,8:15:55,0.41,125.69,10.0,4.5,122 km Tenggara RATAHAN-SULUT,-
MNI-bmkg2023kaon,2023-05-23,14:41:56,-0.02,124.08,29.0,3.1,45 km Selatan MOLIBAGU-SULUT,-
MNI-bmkg2023kaph,2023-05-23,15:04:54,3.19,126.98,10.0,4.8,97 km Tenggara MELONGUANE-SULUT,-
TNT-bmkg2023kapr,2023-05-23,15:16:31,1.17,126.99,13.0,2.9,54 km BaratLaut JAILOLO-MALUT,-
TNT-bmkg2023kaqe,2023-05-23,15:31:41,3.25,126.93,10.0,3.8,88 km Tenggara MELONGUANE-SULUT,-
MNI-bmkg2023kark,2023-05-23,16:09:22,1.11,127.44,156.0,3.6,6 km BaratLaut JAILOLO-MALUT,-
MNI-bmkg2023kcfc,2023-05-24,12:11:49,3.95,127.34,158.0,3.8,73 km Timur MELONGUANE-SULUT,-
TNT-bmkg2023kclv,2023-05-24,15:36:10,1.25,126.11,10.0,3.4,105 km Tenggara BITUNG-SULUT,-
TNT-bmkg2023kcnt,2023-05-24,16:34:21,3.59,127.22,92.0,4.1,76 km Tenggara MELONGUANE-SULUT,-
TNT-bmkg2023kctk,2023-05-24,19:26:27,3.54,127.13,105.0,3.5,72 km Tenggara MELONGUANE-SULUT,-
TNT-bmkg2023kcxb,2023-05-24,21:17:18,3.11,126.58,10.0,3.9,100 km BaratDaya MELONGUANE-SULUT,-
MNI-bmkg2023kdcs,2023-05-25,0:08:30,1.23,126.45,10.0,4.6,114 km BaratLaut TERNATE-MALUT,Dirasakan di Batang Dua III MMI
TNT-bmkg2023kemb,2023-05-25,17:59:52,1.26,125.94,10.0,3.6,87 km Tenggara BITUNG-SULUT,-
TNT-bmkg2023khbn,2023-05-27,4:05:07,2.29,126.77,10.0,3.7,149 km BaratLaut TOBELO-MALUT,-
AAI-bmkg2023khtu,2023-05-27,13:18:47,-1.82,129.05,122.0,3.0,217 km Tenggara LABUHA-MALUT,-
AAI-bmkg2023kljo,2023-05-29,12:40:36,-2.72,126.47,10.0,4.0,97 km Tenggara SANANA-MALUT,-
MNI-bmkg2023klvq,2023-05-29,18:47:14,1.62,127.06,98.0,3.4,77 km BaratLaut JAILOLO-MALUT,-
GTO-bmkg2023knlq,2023-05-30,16:00:11,1.85,126.69,14.0,3.7,123 km BaratLaut JAILOLO-MALUT,-
MNI-bmkg2023knrb,2023-05-30,18:44:48,2.89,126.16,20.0,3.6,90 km TimurLaut ONDONGSIAU-SULUT,-
MNI-bmkg2023knwa,2023-05-30,21:15:01,0.01,126.68,24.0,3.3,113 km BaratDaya TIDORE-MALUT,-
MNI-bmkg2023knwq,2023-05-30,21:33:45,1.53,127.5,175.0,3.9,52 km Utara JAILOLO-MALUT,-
GTO-bmkg2023kokg,2023-05-31,4:26:49,-0.07,124.86,10.0,3.2,97 km Tenggara TUTUYAN-SULUT,-
MNI-bmkg2023kokr,2023-05-31,4:39:39,3.37,125.74,148.0,3.8,38 km Tenggara TAHUNA-SULUT,-
TNT-bmkg2023komo,2023-05-31,5:36:35,0.63,125.21,35.0,3.7,65 km Tenggara RATAHAN-SULUT,-
GTO-bmkg2023kpil,2023-05-31,16:39:35,1.18,127.74,13.0,2.9,33 km TimurLaut JAILOLO-MALUT,-
TNT-bmkg2023kpnq,2023-05-31,19:16:42,1.36,128.07,107.0,2.5,42 km Tenggara TOBELO-MALUT,-

