HISTOGRAM GEMPABMI
Tanggal,Jumlah
15-Nov-22,3
16-Nov-22,1
17-Nov-22,4
18-Nov-22,0
19-Nov-22,2
20-Nov-22,2
21-Nov-22,1
22-Nov-22,2
23-Nov-22,3
24-Nov-22,0
25-Nov-22,3
26-Nov-22,3
27-Nov-22,0
28-Nov-22,4
29-Nov-22,1
30-Nov-22,4
01-Dec-22,3
02-Dec-22,5
03-Dec-22,4
04-Dec-22,0
05-Dec-22,3
06-Dec-22,4
07-Dec-22,4
08-Dec-22,4
09-Dec-22,6
10-Dec-22,2
11-Dec-22,3
12-Dec-22,2
13-Dec-22,1
14-Dec-22,1
15-Dec-22,0
TOTAL,75,
TOTAL DIRASAKAN,2,

BERDASARKAN MAGNITUDO
M < 3,8, 10.7%,
3 < M < 5,66, 88.0%,
M > 5,1, 1.3%,

BERDASARKAN KEDALAMAN
< 60 Km,75, 100.0%,
60 - 300 Km,0, 0.0%,
> 300 Km,0, 0.0%,

BERDASARKAN WILAYAH
LAUT MALUKU,38
HALMAHERA BAG. UTARA,13
HALMAHERA BAG. TIMUR,5
HALMAHERA BAG. BARAT,5
HALMAHERA BAG. SELATAN,13
KEP. SULA & TALIABU,0
SULAWESI,1

Event ID,Origin Date,Origin Time,Latitude,Longitude,Depth,Magnitude,Remark,Information
BMKG-TNT20221202T101714,2022-12-02,10:17:14,-1.91,128.27,15.0,2.9,165 km Tenggara LABUHA-MALUT,-
BMKG-TNT20221202T213306,2022-12-02,21:33:06,2.98,128.29,10.0,3.4,104 km BaratLaut DARUBA-MALUT,-
BMKG-TNT20221202T215134,2022-12-02,21:51:34,-1.92,128.31,23.0,3.3,168 km Tenggara LABUHA-MALUT,-
BMKG-TNT20221203T052233,2022-12-03,5:22:33,1.66,126.52,3.0,3.8,125 km BaratLaut JAILOLO-MALUT,-
BMKG-TNT20221203T085539,2022-12-03,8:55:39,3.09,126.51,10.0,4.3,104 km BaratDaya MELONGUANE-SULUT,-
BMKG-TNT20221203T163212,2022-12-03,16:32:12,1.74,126.52,10.0,3.5,130 km BaratLaut JAILOLO-MALUT,-
BMKG-TNT20221203T215219,2022-12-03,21:52:19,-0.17,125.43,11.0,3.3,138 km Tenggara TUTUYAN-SULUT,-
BMKG-TNT20221205T075159,2022-12-05,7:51:59,2.44,128.51,5.0,4.3,50 km TimurLaut DARUBA-MALUT,-
BMKG-TNT20221205T093149,2022-12-05,9:31:49,1.62,126.34,10.0,3.3,130 km TimurLaut BITUNG-SULUT,-
BMKG-TNT20221205T134825,2022-12-05,13:48:25,1.78,128.49,14.0,3.5,37 km Tenggara DARUBA-MALUT,-
BMKG-TNT20221206T000034,2022-12-06,0:00:34,0.74,125.9,10.0,3.5,112 km Tenggara BITUNG-SULUT,-
BMKG-TNT20221206T035614,2022-12-06,3:56:14,0.46,125.17,3.0,3.1,71 km Tenggara TUTUYAN-SULUT,-
BMKG-TNT20221206T112907,2022-12-06,11:29:07,1.45,126.32,14.0,3.2,126 km Timur BITUNG-SULUT,-
BMKG-TNT20221206T125225,2022-12-06,12:52:25,0.94,127.79,8.0,3.2,29 km TimurLaut SOFIFI-MALUT,-
BMKG-TNT20221207T032946,2022-12-07,3:29:46,1.12,126.76,10.0,3.1,78 km BaratLaut TERNATE-MALUT,-
BMKG-TNT20221207T123033,2022-12-07,12:30:33,0.74,125.59,13.0,4.5,91 km Tenggara BITUNG-SULUT,-
BMKG-TNT20221207T151842,2022-12-07,15:18:42,1.23,126.28,24.0,2.9,124 km Tenggara BITUNG-SULUT,-
BMKG-TNT20221207T180310,2022-12-07,18:03:10,2.54,126.89,16.0,3.1,152 km BaratLaut TOBELO-MALUT,-
BMKG-TNT20221208T012910,2022-12-08,1:29:10,-0.05,126.66,10.0,3.4,114 km BaratLaut LABUHA-MALUT,-
BMKG-TNT20221208T061752,2022-12-08,6:17:52,1.01,128.84,8.0,4.2,72 km TimurLaut MABA-MALUT,-
BMKG-TNT20221208T073511,2022-12-08,7:35:11,2.36,126.16,23.0,4.2,98 km Tenggara ONDONGSIAU-SULUT,-
BMKG-TNT20221208T164118,2022-12-08,16:41:18,-0.08,125.54,10.0,3.6,140 km Tenggara TUTUYAN-SULUT,-
BMKG-TNT20221209T050750,2022-12-09,5:07:50,1.03,124.21,10.0,2.5,27 km TimurLaut LOLAK-SULUT,-
BMKG-TNT20221209T061429,2022-12-09,6:14:29,0.39,125.06,14.0,3.9,65 km Tenggara TUTUYAN-SULUT,-
BMKG-TNT20221209T062133,2022-12-09,6:21:33,2.8,127.96,13.0,4.2,92 km BaratLaut DARUBA-MALUT,-
BMKG-TNT20221209T160619,2022-12-09,16:06:19,0.9,125.6,23.0,3.8,76 km Tenggara BITUNG-SULUT,-
BMKG-TNT20221209T163612,2022-12-09,16:36:12,0.73,126.25,14.0,4.4,124 km Barat TERNATE-MALUT,-
BMKG-TNT20221209T214603,2022-12-09,21:46:03,-0.26,124.86,10.0,3.5,115 km Tenggara MOLIBAGU-SULUT,-
BMKG-TNT20221210T022831,2022-12-10,2:28:31,2.28,126.84,18.0,3.9,142 km BaratLaut TOBELO-MALUT,-
BMKG-TNT20221210T180606,2022-12-10,18:06:06,0.61,129.23,10.0,4.0,105 km Timur MABA-MALUT,-
BMKG-TNT20221211T022844,2022-12-11,2:28:44,1.5,128.24,10.0,5.1,37 km Tenggara TOBELO-MALUT,Dirasakan II-III MMI di Halmahera Barat, Halmahera Utara, Halmahera Timur, dan Morotai
BMKG-TNT20221211T040315,2022-12-11,4:03:15,2.55,127.07,8.0,3.4,137 km BaratLaut TOBELO-MALUT,-
BMKG-TNT20221211T135544,2022-12-11,13:55:44,2.21,129.23,8.0,4.9,106 km TimurLaut DARUBA-MALUT,-
BMKG-TNT20221212T083815,2022-12-12,8:38:15,1.07,127.92,12.0,4.6,49 km TimurLaut SOFIFI-MALUT,dirasakan III MMI di Halmahera Tengah, Halmahera Timur, dan Halmahera Utara, II-III MMI di Halmahera Barat dan Ternate
BMKG-TNT20221212T140744,2022-12-12,14:07:44,2.71,128.24,12.0,3.3,74 km BaratLaut DARUBA-MALUT,-
BMKG-TNT20221213T062359,2022-12-13,6:23:59,1.85,127.25,17.0,4.2,84 km BaratLaut TOBELO-MALUT,
BMKG-TNT20221214T142955,2022-12-14,14:29:55,0.96,125.63,11.0,3.2,73 km Tenggara BITUNG-SULUT,-

